,zone_name,zone_lat,zone_lng,zone_address,max_car,limit_car
0,SK주차장,37.573011,126.804605,서울 강서구 방화동 500-8,5,20
1,스타주차장,37.268503,127.002136,경기 수원시 팔달구 매산로1가 19-1,10,18
2,월드애비뉴,37.645571,126.627879,경기 김포시 구래동 6880-7,5,27
3,제뉴빌딩주차장,37.654861,127.244576,경기 남양주시 호평동 642-2,9,24
4,용정주차장,37.565186,126.816185,서울 강서구 방화동 608-9,7,22
5,제일주차장,37.507687,127.066147,서울 강남구 대치동 1000-6,6,20
6,웨스트엔드 3차,37.553017,126.826775,서울 강서구 내발산동 750-10,7,29
7,위례푸른초등학교 앞,37.469258,127.151721,경기 성남시 수정구 창곡동 521,8,28
8,광명역D환승주차장(지하주차장),37.413876,126.883526,경기 광명시 일직동 380-10,6,26
9,국제주차빌딩,37.53997,127.215714,경기 하남시 신장동 525,5,17
10,광교엘포트아이파크 b동,37.287037,127.057896,경기 수원시 영통구 이의동 1336-1,7,28
11,베스토아주차타워,37.249641,127.035355,경기 수원시 권선구 권선동 1296-7,7,26
12,GS수퍼마켓 안양덕천점,37.395375,126.930419,경기 안양시 만안구 안양동 1391,6,23
13,인계예술공원(현충탑) 주차장,37.258294,127.034731,경기 수원시 팔달구 인계동 1128,8,19
14,도곡로21길7 공영주차장,37.49255,127.038857,서울 강남구 역삼동 795-25,8,15
15,덕소유료주차장,37.58606,127.21196,경기 남양주시 와부읍 덕소리 473-4,9,16
16,강동주차장,35.178774,128.952002,부산 강서구 대저2동 2077,4,20
17,직원전용주차장,35.171036,128.951645,부산 강서구 대저2동 2764-2,8,17
18,대청역 1번출구(대청타워),37.494476,127.079674,서울 강남구 개포동 13-3,7,17
19,송산주차장,37.275311,127.015862,경기 수원시 팔달구 팔달로3가 79,7,30
20,호텔데님,37.476199,127.04681,서울 강남구 개포동 1229-19,5,22
21,관문주차장,37.563545,126.809723,서울 강서구 방화2동 612-18,7,16
22,거주자우선주차구역,37.588118,126.936539,서울 서대문구 홍제동 334-85,9,15
23,서울의료원,37.514202,127.066124,서울 강남구 삼성동 171,9,15
24,신라스테이 역삼점,37.504696,127.041237,서울 강남구 역삼동 675-3,9,21
25,88주차장,37.568459,127.051956,서울 동대문구 답십리동 530-8,4,23
26,AJ파크 광교더로프트점,37.29052,127.046971,경기 수원시 영통구 이의동 1349,10,24
27,태안프라자,37.214298,127.043884,경기 화성시 병점동 846,9,24
28,신설동역대우아이빌 102동,37.576986,127.028924,서울 동대문구 용두동 236-1,6,24
29,한국빌딩 주차장,37.474052,126.868912,경기 광명시 철산동 424,7,17
30,NC백화점 강서점 주차장,37.560196,126.841286,서울 강서구 등촌동 689,7,25
31,미주상가A동주차장,37.582483,127.047236,서울 동대문구 청량리동 235-4,9,22
32,장안주차장,37.569481,127.066994,서울 동대문구 장안동 392-3,9,20
33,군인공제회관,37.488924,127.05272,서울 강남구 도곡동 467-13,8,15
